
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 67
行政区域: 即墨区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2350, dsc_goods_transport_tpl 表ID: 68
行政区域: 胶南市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2352, dsc_goods_transport_tpl 表ID: 68
行政区域: 即墨区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2350, dsc_goods_transport_tpl 表ID: 75
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 75
行政区域: 胶南市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2352, dsc_goods_transport_tpl 表ID: 75
行政区域: 文登市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2433, dsc_goods_transport_tpl 表ID: 75
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 90
行政区域: 即墨区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2350, dsc_goods_transport_tpl 表ID: 90
行政区域: 胶南市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2352, dsc_goods_transport_tpl 表ID: 90
行政区域: 文登市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2433, dsc_goods_transport_tpl 表ID: 90
行政区域: 潮安县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 712, dsc_goods_transport_tpl 表ID: 91
行政区域: 电白县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 780, dsc_goods_transport_tpl 表ID: 91
行政区域: 阳东县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 822, dsc_goods_transport_tpl 表ID: 91
行政区域: 鼓楼区, 区域等级: 3, 央联港查询结果行数: 4, 区域ID: 518, dsc_goods_transport_tpl 表ID: 94
行政区域: 清濛开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 565, dsc_goods_transport_tpl 表ID: 94
行政区域: 高新开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2479, dsc_goods_transport_tpl 表ID: 95
行政区域: 民营经济开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2480, dsc_goods_transport_tpl 表ID: 95
行政区域: 经济技术开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2481, dsc_goods_transport_tpl 表ID: 95
行政区域: 离石市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2544, dsc_goods_transport_tpl 表ID: 95
行政区域: 安县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2759, dsc_goods_transport_tpl 表ID: 109
行政区域: 隆昌县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2866, dsc_goods_transport_tpl 表ID: 109
行政区域: 名山县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2878, dsc_goods_transport_tpl 表ID: 109
行政区域: 香格里拉县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 3165, dsc_goods_transport_tpl 表ID: 110
行政区域: 蒙自县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 3169, dsc_goods_transport_tpl 表ID: 110
行政区域: 弥勒县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 3175, dsc_goods_transport_tpl 表ID: 110
行政区域: 河口, 区域等级: 3, 央联港查询结果行数: 2, 区域ID: 3179, dsc_goods_transport_tpl 表ID: 110
行政区域: 四方区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2345, dsc_goods_transport_tpl 表ID: 141
行政区域: 即墨区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2350, dsc_goods_transport_tpl 表ID: 141
行政区域: 文登市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2433, dsc_goods_transport_tpl 表ID: 141
行政区域: 潮安县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 712, dsc_goods_transport_tpl 表ID: 142
行政区域: 电白县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 780, dsc_goods_transport_tpl 表ID: 142
行政区域: 阳东县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 822, dsc_goods_transport_tpl 表ID: 142
行政区域: 鼓楼区, 区域等级: 3, 央联港查询结果行数: 4, 区域ID: 518, dsc_goods_transport_tpl 表ID: 143
行政区域: 清濛开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 565, dsc_goods_transport_tpl 表ID: 143
行政区域: 高新开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2479, dsc_goods_transport_tpl 表ID: 144
行政区域: 民营经济开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2480, dsc_goods_transport_tpl 表ID: 144
行政区域: 经济技术开发区, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2481, dsc_goods_transport_tpl 表ID: 144
行政区域: 离石市, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2544, dsc_goods_transport_tpl 表ID: 144
行政区域: 安县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2759, dsc_goods_transport_tpl 表ID: 158
行政区域: 隆昌县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2866, dsc_goods_transport_tpl 表ID: 158
行政区域: 名山县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 2878, dsc_goods_transport_tpl 表ID: 158
行政区域: 香格里拉县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 3165, dsc_goods_transport_tpl 表ID: 159
行政区域: 蒙自县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 3169, dsc_goods_transport_tpl 表ID: 159
行政区域: 弥勒县, 区域等级: 3, 央联港查询结果行数: 0, 区域ID: 3175, dsc_goods_transport_tpl 表ID: 159
